Player_Name,Number,Category,Rank,Conference,Institution,State,Division,Position,Photo
Natalia García,961,assists,2,East Coast Conference,Mercy College,New York,NCAA DII,Setter,Mercy College Athletics
Angelí Román Medina,598,assists,10,Central Atlantic Collegiate Conference,University of the Sciences,Pennsylvania,NCAA DII,Setter,David Broytman
Vianca Vital,934,assists,1,Skyline Conference,Manhattanville College,New York,NCAA DIII,Setter,Mike McLaughlin
Katherine Rodríguez,6.57,assists/set,2,Association of Independent Institutions,Fisher College,Massachusetts,NAIA,Setter,Fisher College Athletics
Andrea Fuentes,11.77,assists/set,1,Southeastern Conference,University of Missouri,Missouri,NCAA DI,Setter,Missouri Athletics
Wildalys Soto,7.47,assists/set,8,Metro Atlantic Athletic Conference,Saint Peter's University,New Jersey,NCAA DI,Setter,Beth Lochner
Valeria Aldarondo,8.03,assists/set,4,Southern Intercollegiate Athletic Conference,Savannah State University,Georgia,NCAA DII,Setter,Savannah State University Athletics
Tammy Reyes Pérez,8.30,assists/set,6,Gulf South Conference,Valdosta State University,Georgia,NCAA DII,Setter,Valdosta State University Athletics
Sheila Villagrasa,8.40,assists/set,7,Sunshine State Conference,Florida Technical College,Florida,NCAA DII,Setter,Florida Tech Athletics
Govanna Rosado,3.67,assists/set,8,New England Collegiate Conference,Elms College,Massachusetts,NCAA DIII,Setter,Elms College Athletics
Nerealice Quirindongo Torres,0.92,blocks/set,4,Gulf Coast Athletic Conference,Edward Waters College,Florida,NAIA,OH / RSH,Edward Waters College Athletcs
Stephanie Sánchez,554,digs,1,The Sun Conference,Keiser University,Florida,NAIA,DS / L,Keiser University Athletics
Karina Lozada,719,digs,2,Appalachian Athletic Conference,St. Andrews University,North Carolina,NAIA,DS / L,St. Andrews Knights Athletics
Jennifer Torres,484,digs,2,Gulf Coast Athletic Conference,Xavier University of Louisiana,Louisiana,NAIA,DS / L,Yamlak Tsega
Keishla Reyes,652,digs,4,Kansas Collegiate Athletic Conference,University of Saint Mary,Kansas,NAIA,DS / L, University of Saint Mary Athletics Department
Nerealice Quirindongo Torres,253,digs,9,Gulf Coast Athletic Conference,Edward Waters College,Florida,NAIA,OH / RSH,Edward Waters College Athletcs
Rocío Moro,633,digs,1,Atlantic Sun Conference,University of North Florida,Florida,NCAA DI,DS / L,University of North Florida
Yomaries Villegas,458,digs,6,Mid-Eastern Athletic Conference,North Carolina Central University,North Carolina,NCAA DI,DS / L,Kevin Dorsey
Adriana López Soto,453,digs,3,East Coast Conference,Mercy College,New York,NCAA DII,DS / L,Mercy College Athletics
