Player,Institution,State,Conference,Division,Stat_link,M,S,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Dorianne Lebrón,Seward County Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/sewardcountycommunitycollege?view=lineup,17,46,22,0.48,2,62,0.323,0,0.00,1,0.02,15,0.33,6,17,23,0.50,37.5
Natasha Colón,Independence Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/independencecommunitycollege?view=lineup,32,103,277,2.69,159,940,0.126,2,0.02,24,0.23,317,3.08,3,9,12,0.12,308.5
Hannia Ríos Escalera,Independence Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/independencecommunitycollege?view=lineup,32,103,33,0.32,28,168,0.03,912,8.85,40,0.39,242,2.35,2,8,10,0.10,79.0
Paola Morales Vázquez,Independence Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/independencecommunitycollege?view=lineup,29,71,74,1.04,48,259,0.1,2,0.03,6,0.08,30,0.42,4,8,12,0.17,88.0
Jonidsha Nieves Guerrido,Independence Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/independencecommunitycollege?view=lineup,25,78,2,0.03,0,2,1,34,0.44,20,0.26,366,4.69,0,0,0,0.00,22.0
Julianne Ortiz,Independence Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/independencecommunitycollege?view=lineup,27,70,2,0.03,3,11,-0.091,1,0.01,5,0.07,36,0.51,0,0,0,0.00,7.0
Amanda Cruz,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/collegeofcentralflorida?view=lineup,27,76,16,0.21,5,57,0.193,445,5.86,16,0.21,152,2.00,0,6,6,0.08,35.0
Kariema Rodríguez,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/collegeofcentralflorida?view=lineup,24,86,84,0.98,55,325,0.089,26,0.30,24,0.28,205,2.38,1,10,11,0.13,114.0
Desiré Cruz,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/collegeofcentralflorida?view=lineup,24,71,73,1.03,21,176,0.295,1,0.01,4,0.06,21,0.30,12,52,64,0.90,115.0
Nataly García,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/collegeofcentralflorida?view=lineup,6,82,188,2.29,107,526,0.154,6,0.07,17,0.21,101,1.23,2,31,33,0.40,222.5
Giovana Larregui,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/collegeofcentralflorida?view=lineup,23,71,164,2.31,64,453,0.221,8,0.11,22,0.31,226,3.18,4,18,22,0.31,199.0
Nicole Rodríguez,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/daytonastatecollege?view=lineup,26,92,0,0.00,1,1,-1,27,0.29,29,0.32,399,4.34,0,0,0,0.00,29.0
Gabrielle Soto,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/daytonastatecollege?view=lineup,26,89,123,1.38,93,401,0.075,2,0.02,1,0.01,164,1.84,2,16,18,0.20,134.0
Carla Hernández,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/daytonastatecollege?view=lineup,26,92,328,3.57,115,981,0.217,2,0.02,26,0.28,213,2.32,2,21,23,0.25,366.5
Maredis Colón,Eastern Florida State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/easternfloridastatecollege?view=lineup,18,58,135,2.33,99,530,0.068,5,0.09,19,0.33,174,3.00,3,13,16,0.28,163.5
Keydelis Nieves,Eastern Florida State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/easternfloridastatecollege?view=lineup,22,70,129,1.84,71,445,0.13,6,0.09,19,0.27,167,2.39,5,2,7,0.10,154.0
María Rentas,Eastern Florida State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/easternfloridastatecollege?view=lineup,22,67,8,0.12,0,11,0.727,164,2.45,3,0.04,70,1.04,0,0,0,0.00,11.0
Anaeli Perea Martín,Eastern Florida State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/easternfloridastatecollege?view=lineup,18,55,1,0.02,0,1,1,29,0.53,3,0.05,198,3.60,0,0,0,0.00,4.0
Krystal Santiago,Florida State College at Jacksonville,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/floridastatecollegeatjacksonville?view=lineup,20,77,5,0.06,0,19,0.263,49,0.64,8,0.10,404,5.25,0,0,0,0.00,13.0
Iveanie Galio,Florida State College at Jacksonville,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/floridastatecollegeatjacksonville?view=lineup,13,28,6,0.21,0,11,0.545,103,3.68,2,0.07,30,1.07,0,0,0,0.00,8.0
María Córdova Garriga,Hillsborough Community College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/hillsboroughcommunitycollege?view=lineup,22,37,41,1.11,28,108,0.12,0,0.00,4,0.11,32,0.86,2,9,11,0.30,51.5
Alanis Jiménez Martínez,Hillsborough Community College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/hillsboroughcommunitycollege?view=lineup,36,91,127,1.40,70,347,0.164,3,0.03,6,0.07,39,0.43,5,33,38,0.42,154.5
Suared Molina,Polk State College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/polkstatecollege?view=lineup,30,108,4,0.04,0,5,0.8,95,0.88,33,0.31,473,4.38,0,0,0,0.00,37.0
María Hernández,Santa Fe College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/santafecollege?view=lineup,22,82,15,0.18,7,44,0.182,678,8.27,10,0.12,247,3.01,3,18,21,0.26,37.0
Kariana Ayala,Santa Fe College,Florida,NJCAA Region 8,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/santafecollege?view=lineup,23,87,0,0.00,0,2,0,2,0.02,14,0.16,251,2.89,0,0,0,0.00,14.0
Ana Costas,Western Nebraska Community College,Nebraska,NJCAA Region 9,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/westernnebraskacommunitycollege?view=lineup,37,128,1,0.01,0,22,0.045,101,0.79,29,0.23,547,4.27,0,0,0,0.00,30.0
Nicole Peña,Western Nebraska Community College,Nebraska,NJCAA Region 9,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/westernnebraskacommunitycollege?view=lineup,8,12,0,0.00,0,0,0,4,0.33,2,0.17,6,0.50,0,0,0,0.00,2.0
Erica González,Laredo College,Texas,NJCAA Region 14,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/laredocollege?view=lineup,36,123,47,0.38,21,175,0.149,1130,9.19,50,0.41,264,2.15,10,30,40,0.33,122.0
Lyx Berdecia,Laredo College,Texas,NJCAA Region 14,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/laredocollege?view=lineup,16,29,0,0.00,3,7,-0.429,1,0.03,4,0.14,49,1.69,0,0,0,0.00,4.0
Patricia Pantoja,Navarro College,Texas,NJCAA Region 14,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/navarrocollege?view=lineup,30,98,66,0.67,15,262,0.195,7,0.07,21,0.21,291,2.97,4,14,18,0.18,98.0
Melanie Orsini,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,40,139,3,0.02,7,53,-0.075,134,0.96,85,0.61,731,5.26,0,0,0,0.00,88.0
Alondra García,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,36,125,23,0.18,4,77,0.247,669,5.35,67,0.54,216,1.73,0,0,0,0.00,90.0
Yarianne González,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,41,142,12,0.08,9,84,0.036,656,4.62,53,0.37,243,1.71,0,0,0,0.00,65.0
Carolina Almeda,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,36,80,3,0.04,1,13,0.154,7,0.09,14,0.17,71,0.89,0,0,0,0.00,17.0
Solymar Santos Roig,Mineral Area College,Missouri,NJCAA Region 16,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/mineralareacollege?view=lineup,21,68,124,1.82,39,326,0.261,0,0.00,0,0.00,22,0.32,22,6,28,0.41,149.0
