Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Kariana Ayala,Fr.,L,5-6,,,https://www.santafesaints.com/sports/wvball/2019-20/bios/ayala_kariana_c627,Bayamón,The Rock School,N,Santa Fe College,Florida,https://www.santafesaints.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Ana Costas,So.,L,5-1,,,https://wnccathletics.com/sports/wvball/2019-20/bios/costas_ana_ez2f,Gurabo,Colegio Católico Notre Dame,Y,Western Nebraska Community College,Nebraska,https://wnccathletics.com/sports/wvball/index,NJCAA Region 9,NJCAA DI
Nicole Peña,Fr.,DS,5-5,,,https://wnccathletics.com/sports/wvball/2019-20/bios/perez_nicole_bkgw,,Shoemaker High School,N,Western Nebraska Community College,Nebraska,https://wnccathletics.com/sports/wvball/index,NJCAA Region 9,NJCAA DI
Erica González,Fr.,S,5-8,,,https://laredo.prestosports.com/sports/wvball/2019-20/bios/gonzalez_erica_cristina_cchs,San Sebastián,Escuela Patria Latorre Ramírez,Y,Laredo College,Texas,https://laredo.prestosports.com/sports/wvball/index,NJCAA Region 14,NJCAA DI
Lyx Berdecia,Fr.,OH,5-7,,,https://laredo.prestosports.com/sports/wvball/2019-20/bios/berdecia_lyx_u06v?view=profile,San Juan,Colegio Nuestra Señora de Guadalupe,Y,Laredo College,Texas,https://laredo.prestosports.com/sports/wvball/index,NJCAA Region 14,NJCAA DI
Patricia Pantoja,Fr.,OH/DS,5-9,,,https://www.navarrocollege.edu/athletics/volleyball/roster/,Barceloneta,Colegio San Felipe,Y,Navarro College,Texas,https://www.navarrocollege.edu/athletics/volleyball/,NJCAA Region 14,NJCAA DI
Melanie Orsini,Fr.,L,5-2,,,https://www.monroecollegemustangs.com/sports/womens-volleyball/roster/melanie-orsini/5845,Bayamón,Christian Military Academy,Y,Monroe College,New York,https://www.monroecollegemustangs.com/index.aspx?path=wvball,NJCAA Region 15,NJCAA DI
Alondra García,Fr.,S,5-5,,,https://www.monroecollegemustangs.com/sports/womens-volleyball/roster/alondra-garcia/5854,Vega Baja,Christian Military Academy,Y,Monroe College,New York,https://www.monroecollegemustangs.com/index.aspx?path=wvball,NJCAA Region 15,NJCAA DI
Yarianne González,Fr.,S,5-2,,,https://www.monroecollegemustangs.com/sports/womens-volleyball/roster/yarianne-gonzalez/5855,Manatí,Piaget Bilingual Academy,Y,Monroe College,New York,https://www.monroecollegemustangs.com/index.aspx?path=wvball,NJCAA Region 15,NJCAA DI
Solymar Santos Roig,So.,OH/RSH,6-0,,,http://njcaa.org/sports/wvball/2019-20/div1/players/solymarsantoswy2o?view=profile,Aguadilla,Carib Christian School,Y,Mineral Area College,Missouri,https://mineralarea.edu/athletics/womens-volleyball/,NJCAA Region 16,NJCAA DI
