Player,Institution,State,Conference,Division,Major,Min_GPA,Award,Announcement,Announcement_Date
Jeshmarie Suárez,Cal State University Los Angeles,California,California Collegiate Athletic Association,NCAA DII,Biology,3.30,All-Academic Team,https://goccaa.org/news/2020/1/16/awards-record-351-student-athletes-earn-fall-all-academic-distinction.aspx,1/16/20
Luinet Meléndez,Regis College,Massachusetts,Great Northeast Athletic Conference,NCAA DIII,Biology/Pre-Med,3.25,Academic All-Conference,https://www.thegnac.com/general/2019-20/releases/20200615lsbhhg,6/26/20
Freysha Rivera,John Jay College,New York,City University of New York Athletic Conference,NCAA DIII,Criminology,3.20,CUNYAC Scholar-Athlete,https://cunyathletics.com/news/2020/3/5/mens-cross-country-cunyac-announces-fall-2019-scholar-athlete-honor-roll.aspx,3/5/20
Kianna Lozada,Elms College,Massachusetts,New England Collegiate Conference,NCAA DIII,Education,3.40,Academic All-Conference,https://www.neccathletics.com/landing/2019-20/fallaac,1/15/20
Patricia Martínez,Catholic University of America,Washington D.C.,Landmark Conference,NCAA DIII,Engineering,3.20,Academic Honor Roll,https://www.landmarkconference.org/general/2019-20/releases/11152019-fall-academic-honor-roll,11/15/19
Nelisabel La Court Ruiz,Goucher College,Pennsylvania,Landmark Conference,NCAA DIII,Psychology,3.20,Academic Honor Roll,https://www.landmarkconference.org/general/2019-20/releases/11152019-fall-academic-honor-roll,11/15/19
Alejandra Figueroa,Manhattanville College,New York,Skyline Conference,NCAA DIII,Marketing,3.30,Academic Honor Roll,https://skylineconference.org/news/2020/1/30/general-fall-2019-academic-honor-roll-announced.aspx,1/30/20
Alondra Cruz,Clarendon College,Texas,NJCAA Region 5,NJCAA DI,,3.80,NJCAA All-Academic 2nd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Yadenis Marzán,Clarendon College,Texas,NJCAA Region 5,NJCAA DI,,3.80,NJCAA All-Academic 2nd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Coralys Maldonado,New Mexico Military Institute,New Mexico,NJCAA Region 5,NJCAA DI,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Dorianne Lebrón,Seward County Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Nicole Rodríguez,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Carla Hernández,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,,3.80,NJCAA All-Academic 2nd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
María Hernández,Santa Fe College,Florida,NJCAA Region 8,NJCAA DI,,4.00,NJCAA All-Academic 1st Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Kariana Ayala,Santa Fe College,Florida,NJCAA Region 8,NJCAA DI,,3.80,NJCAA All-Academic 2nd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Patricia Pantoja,Navarro College,Texas,NJCAA Region 14,NJCAA DI,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Carolina Almeda,Monroe College,New York,NJCAA Region 15,NJCAA DI,,3.80,NJCAA All-Academic 2nd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Solymar Santos Roig,Mineral Area College,Missouri,NJCAA Region 16,NJCAA DI,,4.00,NJCAA All-Academic 1st Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Gabriela López,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Fabiana de Jesús,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,,4.00,NJCAA All-Academic 1st Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Alejandra Delgado,Cowley College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Fabianne Besosa,Lake Region State College,North Dakota,Mon-Dak Athletic Conference,NJCAA DII,,3.80,NJCAA All-Academic 2nd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Jexley Porrata,Lake Region State College,North Dakota,Mon-Dak Athletic Conference,NJCAA DII,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
Génesis Santiago,Frontier Community College,Illinois,NJCAA Region 24,NJCAA DII,,3.60,NJCAA All-Academic 3rd Team,https://www.njcaa.org/general/2019-20/releases/20200710epyyec,7/10/20
