Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Natasha Colón,So.,OH,5-6,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/guayama/saint-patricks-bilingual-school/natasha-coln,Juana Díaz,Saint Patrick's Bilingual School,Independence Community College,Kansas,,Region 6,NJCAA D-I
Hannia Ríos Escalera,So.,S,5-5,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/bayamon/emadrian-bilingual-school/hannia-rios-escalera,Toa Baja,Emadrian Bilingual School,Independence Community College,Kansas,,Region 6,NJCAA D-I
Paola Morales Vázquez,Fr.,MB/Opp,5-9,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/utuado/luis-munoz-rivera/paola-morales-vazquez,Utuado,Escuela Luis Muñoz Rivera,Independence Community College,Kansas,,Region 6,NJCAA D-I
Jonidsha Nieves Guerrido,Fr.,DS/L,5-3,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/bayamon/emadrian-bilingual-school/jonidsha-nayelie-nieves-guerrido,Bayamón,Emadrian Bilingual School,Independence Community College,Kansas,,Region 6,NJCAA D-I
Julianne Ortiz,So.,DS/L,5-7,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/bayamon/emadrian-bilingual-school/julianne-ortiz,Toa Alta,Emadrian Bilingual School,Independence Community College,Kansas,,Region 6,NJCAA D-I
Amanda Cruz,Fr.,S,5-6,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/cruz_amanda_26lk?view=profile,Coamo,Colegio Nuestra Señora de Valvanera,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,Region 8,NJCAA D-I
Kariema Rodríguez,So.,OH/DS,5-9,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/rodriguez_kariema_m0zz,,The Rock School,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,Region 8,NJCAA D-I
Desiré Cruz,Fr.,MB,6-0,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/cruz_desire_umk1,Humacao,Escuela Petra Mercado,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,Region 8,NJCAA D-I
Nataly García,Fr.,OH,6-0,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/garcia_nataly_wl62,Coamo,Colegio Nuestra Señora de Valvanera,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,Region 8,NJCAA D-I
Nicole Rodríguez,So.,L,,,https://dscfalcons.com/sports/wvball/2019-20/bios/rodriguez_nicole_8qdu?view=bio,San Juan,Osceola High School,Daytona State College,Florida,https://dscfalcons.com/sports/wvball/index,Region 8,NJCAA D-I
Gabrielle Soto,So.,OH,,,https://dscfalcons.com/sports/wvball/2019-20/bios/soto_gabrielle_bqqd?view=bio,Toa Baja,Colegio De Diego de Carolina,Daytona State College,Florida,https://dscfalcons.com/sports/wvball/index,Region 8,NJCAA D-I
Carla Hernández,So.,OH,,,https://dscfalcons.com/sports/wvball/2019-20/bios/hernandez_carla_to4h?view=bio,Hatillo,Colegio Capitán Correa,Daytona State College,Florida,https://dscfalcons.com/sports/wvball/index,Region 8,NJCAA D-I
Maredis Colón,Fr.,OH,5-7,,https://www.efsctitans.com/sports/wvball/2019-20/bios/colon_maredis_fc8k?view=bio,Bayamón,Dr. Phillips High School,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,Region 8,NJCAA D-I
Keydelis Nieves,Fr.,OH,5-5,,https://www.efsctitans.com/sports/wvball/2019-20/bios/nieves_keydelis_tfsz,Guaynabo,Colegio Nuestra Señora de Guadalupe,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,Region 8,NJCAA D-I
María Rentas,So.,S,5-6,,https://www.efsctitans.com/sports/wvball/2019-20/bios/rentas_maria_2iz7,Juana Díaz,Colegio San Judas Tadeo,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,Region 8,NJCAA D-I
Anaeli Perea Martín,Fr.,L,5-1,,https://www.efsctitans.com/sports/wvball/2019-20/bios/perea_anaeli_a6xw?view=bio,Añasco,,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,Region 8,NJCAA D-I
Krystal Santiago,So.,L,5-6,,https://www.gobluewave.com/sports/wvball/2019-20/bios/santiago_krystal_nc0y,Corozal,Academia Santa Teresita,Florida State College at Jacksonville,Florida,https://www.gobluewave.com/sports/wvball/index,Region 8,NJCAA D-I
Iveanie Galio,So.,S,5-8,,https://www.gobluewave.com/sports/wvball/2019-20/bios/galio_iveanie_lsbs,Patillas,Guamaní Private School,Florida State College at Jacksonville,Florida,https://www.gobluewave.com/sports/wvball/index,Region 8,NJCAA D-I
María Córdova Garriga,Fr.,OH,5-9,,https://hillsboroughcc.prestosports.com/sports/wvball/2019-20/bios/cordova-garriga_maria_find,Caguas,Academia Cristo de los Milagros,Hillsborough Community College,Florida,https://hillsboroughcc.prestosports.com/sports/wvball/index,Region 8,NJCAA D-I
Alanis Jiménez Martínez,Fr.,MB,5-10,,https://hillsboroughcc.prestosports.com/sports/wvball/2019-20/bios/jimenez-martinez_alanis_0f0q,Caguas,Academia Cristo de los Milagros,Hillsborough Community College,Florida,https://hillsboroughcc.prestosports.com/sports/wvball/index,Region 8,NJCAA D-I
Suared Molina,Fr.,DS/L,5-4,,https://polkeagles.com/sports/wvball/2019-20/bios/molina_suared_vuaf,Arecibo,Colegio San Felipe,Polk State College,Florida,https://polkeagles.com/sports/wvball/index,Region 8,NJCAA D-I
María Hernández,Fr.,S,5-7,,https://www.santafesaints.com/sports/wvball/2019-20/bios/hernandez_maria_uxdw,Bayamón,The Rock School,Santa Fe College,Florida,https://www.santafesaints.com/sports/wvball/index,Region 8,NJCAA D-I
Kariana Ayala,Fr.,L,5-6,,https://www.santafesaints.com/sports/wvball/2019-20/bios/ayala_kariana_c627,Vega Baja,The Rock School,Santa Fe College,Florida,https://www.santafesaints.com/sports/wvball/index,Region 8,NJCAA D-I
Ana Costas,So.,L,5-1,,https://wnccathletics.com/sports/wvball/2019-20/bios/costas_ana_ez2f,Gurabo,Colegio Católico Notre Dame,Western Nebraska Community College,Nebraska,https://wnccathletics.com/sports/wvball/index,Region 8,NJCAA D-I
Nicole Peña,Fr.,DS,5-5,,https://wnccathletics.com/sports/wvball/2019-20/bios/perez_nicole_bkgw,,Shoemaker High School,Western Nebraska Community College,Nebraska,https://wnccathletics.com/sports/wvball/index,Region 8,NJCAA D-I
Erica González,Fr.,S,5-8,,https://laredo.prestosports.com/sports/wvball/2019-20/bios/gonzalez_erica_cristina_cchs,San Sebastián,Escuela Patria Latorre Ramírez,Laredo College,Texas,https://laredo.prestosports.com/sports/wvball/index,Region 14,NJCAA D-I
Lyx Berdecia,Fr.,OH,5-7,,https://laredo.prestosports.com/sports/wvball/2019-20/bios/berdecia_lyx_u06v?view=profile,San Juan,Colegio Nuestra Señora de Guadalupe,Laredo College,Texas,https://laredo.prestosports.com/sports/wvball/index,Region 14,NJCAA D-I
Patricia Pantoja,Fr.,OH/DS,5-9,,https://www.navarrocollege.edu/athletics/volleyball/roster/,Barceloneta,Colegio San Felipe,Navarro College,Texas,https://www.navarrocollege.edu/athletics/volleyball/,Region 14,NJCAA D-I
Melanie Orsini,Fr.,L,5-2,,https://www.monroecollegemustangs.com/sports/womens-volleyball/roster/melanie-orsini/5845,Bayamón,Christian Military Academy,Monroe College,New York,https://www.monroecollegemustangs.com/index.aspx?path=wvball,Region 15,NJCAA D-I
Alondra García,Fr.,S,5-5,,https://www.monroecollegemustangs.com/sports/womens-volleyball/roster/alondra-garcia/5854,Vega Baja,Christian Military Academy,Monroe College,New York,https://www.monroecollegemustangs.com/index.aspx?path=wvball,Region 15,NJCAA D-I
Yarianne González,Fr.,S,5-2,,https://www.monroecollegemustangs.com/sports/womens-volleyball/roster/yarianne-gonzalez/5855,Manatí,Piaget Bilingual Academy,Monroe College,New York,https://www.monroecollegemustangs.com/index.aspx?path=wvball,Region 15,NJCAA D-I
Solymar Santos Roig,So.,OH/RSH,6-0,,http://njcaa.org/sports/wvball/2019-20/div1/players/solymarsantoswy2o?view=profile,Aguadilla,,Mineral Area College,Missouri,https://mineralarea.edu/athletics/womens-volleyball/,Region 16,NJCAA D-I
