Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Alanis Santana,Jr.,S,,Biology,https://fmuathletics.com/roster.aspx?rp_id=1320&path=wvball,Bayamón,Colegio De La Salle,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Sofía Adorno,Jr.,RSH,5-8,Marketing,https://stubobcats.com/sports/womens-volleyball/roster/sofia-adorno/4719,,Colegio Santa Rosa,St. Thomas University (Florida),Florida,https://stubobcats.com/index.aspx?path=wvball,The Sun Conference,NAIA
Alejandra Suárez,So.,DS/L,5-7,,https://avemariagyrenes.com/sports/womens-volleyball/roster/alejandra-suarez/3911,Gurabo,Colegio Bautista,Ave Maria University,Florida,https://avemariagyrenes.com/index.aspx?path=wvball,The Sun Conference,NAIA
Nayrelis Pantoja Santos,Sr.,DS/L,5-6,Criminal Justice Management,https://webberathletics.com/sports/womens-volleyball/roster/nayrelis-pantoja-santos/6829,Vega Baja,Christian Military Academy,Webber International University,Florida,https://webberathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Gilmary Ramos,Sr.,DS/S,5-3,Criminal Justice Management,https://webberathletics.com/sports/womens-volleyball/roster/gilmary-ramos/6831,Bayamón,Lake Nona High School,Webber International University,Florida,https://webberathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Nayelis Alvarado,Fr.,OH,5-11,Criminal Justice,https://northmiami.jwuathletics.com/sports/wvball/2019-20/bios/alvarado_nayelis_sm8s?view=bio,Ciales,Harmony High School,Johnson & Wales University - North Miami,Florida,https://northmiami.jwuathletics.com/sports/wvball/index,The Sun Conference,NAIA
Paola Sanabria López,Jr.,OH,6-1,,http://www.bethanyswedes.com/roster/18/1/10210.php,Rincón,,Bethany College,Kansas,http://www.bethanyswedes.com/sport/0/1,Kansas Collegiate Athletic Conference,NAIA
Natalie Tricoche,Jr.,DS,5-6,,http://www.bethanyswedes.com/roster/18/1/10212.php,San Juan,,Bethany College,Kansas,http://www.bethanyswedes.com/sport/0/1,Kansas Collegiate Athletic Conference,NAIA
Ellisangi Matos Torres,Sr.,S,5-3,,https://www.okwu.edu/athletics/womens-volleyball/roster/,Río Grande,,Oklahoma Wesleyan University,Oklahoma,https://www.okwu.edu/athletics/team/womens-volleyball/,Kansas Collegiate Athletic Conference,NAIA
Keishla Reyes,Jr.,OH,5-8,,http://www.gospires.com/roster/26/14/5495,Bayamón,Samuel Clemens High School,University of Saint Mary,Kansas,http://www.gospires.com/sport/0/14,Kansas Collegiate Athletic Conference,NAIA
Gabriella Gracia Badillo,Jr.,S,5-6,Business,https://ramsports.net/sports/womens-volleyball/roster/gabriella-gracia-badillo/5668,Trujillo Alto,Colegio San Antonio,Texas Wesleyan University,Texas,https://ramsports.net/index.aspx?path=wvball,Sooner Athletic Conference,NAIA
Nashali Cruz,Jr.,OH,5-8,Biology,http://www.statesmenathletics.com/roster/23/9/16781.php,Bayamón,Academia Discípulos de Cristo,William Penn University,Iowa,http://www.statesmenathletics.com/sport/0/9,Heart of America Athletic Conference,NAIA
Gabriela Martínez,So.,OH,5-9,International Business,http://www.loyolawolfpack.com/roster/16/16/2897.php,San Juan,Academia María Reina,Loyola University New Orleans,Louisiana,http://www.loyolawolfpack.com/index.php,Southern States Athletic Conference,NAIA
Angélica Monteagudo Jusino,So.,MB/Opp,5-11,,http://www.wearefc.com/roster/6/7/551.php,Mayagüez,Cabo Rojo Christian Academy,Florida College,Florida,http://www.wearefc.com/sport/0/7,Southern States Athletic Conference,NAIA
Luisa Ramírez Huertas,Jr.,DS,5-9,,https://bcuchargers.com/sports/womens-volleyball/roster/luisa-ramirez-huertas/12538,Guaynabo,Colegio Lourdes,Briar Cliff University,Iowa,https://bcuchargers.com/index.aspx?path=wvball,Great Plains Athletic Conference,NAIA
Emileishka de Jesús,So.,OH,5-5,Radiology,http://www.iunredhawkathletics.com/roster/17/4/1089.php,Guaynabo,Portage High School,Indiana University Northwest,Indiana,http://www.iunredhawkathletics.com/sport/0/4,Chicagoland Collegiate Athletic Conference,NAIA
Yeryvel Catalá,So.,OH,5-6,,https://upikebears.com/sports/womens-volleyball/roster/yeryvel-catala/5683,Gurabo,Caguas Privaye School,University Of Pikeville,Kentucky,https://upikebears.com/index.aspx?path=wvball,Mid-South Conference,NAIA
Adianez Rivera,Jr.,OH,5-9,,https://columbiacougars.com/sports/womens-volleyball/roster/adianez-rivera/1584,Carolina,,Columbia College,Missouri,https://columbiacougars.com/index.aspx?path=wvball,American Midwest Conference,NAIA
Katherine Rodríguez,Fr.,S,5-4,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/rodriguez_katherine_19gv?view=profile,Fajardo,Colegio Héctor Urdaneta,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Lia Aime,Jr.,L,5-0,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/aime_lia_5ohc,Las Piedras,Colegio Nuestra Señora del Perpetuo Socorro,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Natalia Ortiz Arce,So.,RSH,5-7,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/ortiz-arce_natalia_r22n?view=profile,Humacao,Colegio San Antonio Abad,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Charisse Lazú,Fr.,MB,5-7,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/lazu_charisse_5hx4,Trujillo Alto,Escuela Del Deporte San Juan,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Wandy Cruz,So.,,5-4,,https://www.fnu.edu/athletics/player/wandy-cruz/,Carolina,The Conrad Academy,Florida National University,Florida,https://www.fnu.edu/athletics/team/womens-volleyball-2019-2020/,Association of Independent Institutions,NAIA
Jennifer Torres,Jr.,L,5-3,Biology,https://xulagold.com/sports/womens-volleyball/roster/jennifer-torres/3176,,Trinity Christian Academy,Xavier University of Louisiana,Louisiana,https://xulagold.com/index.aspx?path=wvball,Gulf Coast Athletic Conference,NAIA
Andrea Díaz Merced,So.,DS/L,5-6,,http://www.ewctigerpride.com/roster/16/13/5601.php,Gurabo,Oakleaf High School,Edward Waters College,Florida,http://www.ewctigerpride.com/sport/16/13.php,Gulf Coast Athletic Conference,NAIA
Nerealice Quirindongo Torres,Jr.,OH/MB,6-1,,http://www.ewctigerpride.com/roster/16/13/5603.php,Añasco,Colegio San Benito,Edward Waters College,Florida,http://www.ewctigerpride.com/sport/16/13.php,Gulf Coast Athletic Conference,NAIA
