Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Jasmal Cruz,Fr.,L,5-7,Biological Sciences,https://dsuhornets.com/sports/womens-volleyball/roster/jasmal-cruz/2832,Trujillo Alto,St. Mary's School,Delaware State University,Delaware,https://dsuhornets.com/index.aspx?path=vb,Mid-Eastern Athletic Conference,NCAA D-I
Anadys Valentín,Fr.,OH,5-11,Mass Communications,https://dsuhornets.com/sports/womens-volleyball/roster/anadys-chimelis-valentin/2831,Vega Baja,Colegio Puertorriqueño de Niñas,Delaware State University,Delaware,https://dsuhornets.com/index.aspx?path=vb,Mid-Eastern Athletic Conference,NCAA D-I
Andrea Laboy Rivera,So.,L,5-5,Psychology / Nursing,https://www.nmnathletics.com/ViewArticle.dbml?ATCLID=211767898&DB_OEM_ID=24500&Q_SEASON=2019,Coamo,Colegio del Sagrado Corazón de Jesús,North Carolina A&T,North Carolina,https://www.nmnathletics.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=24500&SPID=74514&SPSID=593343,Mid-Eastern Athletic Conference,NCAA D-I
Yamelis Mojica,Fr.,OH / MB,6-2,Exercise Science,https://golobos.com/roster.aspx?rp_id=7956&path=wvball,Bayamón,Colegio Adianez,University of New Mexico,New Mexico,https://golobos.com/index.aspx?path=wvball,Mountain West Conference,NCAA D-I
Valeria Vázquez Gómez,Fr.,OH,6-1,Rehabilitation Science,https://pittsburghpanthers.com/sports/womens-volleyball/roster/valeria-vazquez-gomez/10491,Manatí,Colegio Marista Manatí,University of Pittsburgh,Pennsylvania,https://pittsburghpanthers.com/index.aspx?path=wvball,Atlantic Coast Conference,NCAA D-I
Melanie Feliciano,Fr.,OH,5-11,Chemistry,https://gopurpleaces.com/sports/womens-volleyball/roster/melanie-feliciano/4848,Ponce,Colegio del Sagrado Corazón de Jesús,University of Evansville,Indiana,https://gopurpleaces.com/index.aspx?path=vball,Missouri Valley Conference,NCAA D-I
Laura Ruiz,Fr.,DS/L,5-7,Business Management,https://gopurpleaces.com/sports/womens-volleyball/roster/laura-ruiz/4850,Cayey,Colegio Radians,University of Evansville,Indiana,https://gopurpleaces.com/index.aspx?path=vball,Missouri Valley Conference,NCAA D-I
Cecilia Thon,So.,S,5-7,Political Sciences,https://gopurpleaces.com/sports/womens-volleyball/roster/cecilia-thon/4846,San Juan,Academia del Perpetuo Socorro,University of Evansville,Indiana,https://gopurpleaces.com/index.aspx?path=vball,Missouri Valley Conference,NCAA D-I
Alondra Vázquez,So.,OH,5-11,Exercise Science,https://gopurpleaces.com/sports/womens-volleyball/roster/alondra-vazquez/4847,Toa Alta,Academia Discípulos de Cristo,University of Evansville,Indiana,https://gopurpleaces.com/index.aspx?path=vball,Missouri Valley Conference,NCAA D-I
Laura Rojas,Sr.,L/DS,5-4,Biological Sciences,https://siusalukis.com/sports/womens-volleyball/roster/laura-rojas/3824,,Cypress Creek H.S.,Southern Illinois University,Illinois,https://siusalukis.com/index.aspx?path=wvball,Missouri Valley Conference,NCAA D-I
Natalia Rivera,Sr.,L,5-4,Biology,https://www.liuathletics.com/sports/womens-volleyball/roster/natalia-rivera/184,Cayey,Colegio Radians,Long Island University,New York,https://www.liuathletics.com/index.aspx?path=wvball,Northeast Conference,NCAA D-I
Cristina Robles,Jr.,DS/L,5-2,,https://sfcathletics.com/sports/womens-volleyball/roster/cristina-robles/3774,Bayamón,Academia Discípulos de Cristo,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA D-I
Kizzy Rodríguez,Jr.,L,5-4,Health Promotion and Sciences,https://sfcathletics.com/sports/womens-volleyball/roster/kizzy-rodriguez/3676,Luquillo,Shadow Ridge High School,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA D-I
Ivana Marrero,Fr.,S,5-7,,https://sfcathletics.com/sports/womens-volleyball/roster/ivana-marrero/3684,Dorado,New Dimensions,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA D-I
Génesis Soto,Jr.,DS/L,5-2,,https://sfcathletics.com/sports/womens-volleyball/roster/genesis-soto/3681,Trujillo Alto,Grace Christian School,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA D-I
Kelly Negrón,Fr.,S,5-7,,https://ucirvinesports.com/sports/womens-volleyball/roster/kelly-negron/4580,Arecibo,Trabuco Hills High School,"University of California, Irvine",California,https://ucirvinesports.com/index.aspx?path=wvball,Big West Conference,NCAA D-I
Alejandra Rodríguez,Sr.,L,5-4,Business management,https://gobobcats.com/sports/womens-volleyball/roster/alejandra-rodriguez/8089,Toa Alta,Divine Savior,Quinnipiac University,Connecticut,https://gobobcats.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Nashally Eleutiza,Jr.,DS,5-8,Allied Health,https://gojaspers.com/sports/womens-volleyball/roster/nashally-eleutiza/7192,,Cypress Creek H.S.,Manhattan College,New York,https://gojaspers.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Stephanie Rivera,So.,MH,5-11,Undeclared,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/stephanie-rivera/3097,Guayama,Saint Patrick's Bilingual School,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Alanis Alvarado,So.,OH,5-11,Nursing,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/alanis-alvarado/3090,Bayamón,Hudson Catholic,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Yaidelis López Jiménez,Jr.,DS/L,5-0,Biology,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/yaidelis-lopez-jimenez/3095,Caguas,Colegio Bautista de Caguas,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Karla Seda,Jr.,L,5-2,Biology,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/karla-seda/3099,Toa Baja,University Gardens High School,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Wildalys Soto,Jr.,S,5-10,Undeclared,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/wildalys-soto/3100,Patillas,Saint Patrick's Bilingual School,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Angeleyshka Curbelo,So.,OH,6-0,Education,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/angeleyshka-curbelo/3091,Carolina,Colegio Santa Gema,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA D-I
Paulina Pérez Rosas,So.,OH,6-0,Sports Science,https://ucfknights.com/sports/womens-volleyball/roster/paulina-perez-rosas/8086,Guánica,Colegio San Benito,University of Central Florida,Florida,https://ucfknights.com/index.aspx?path=wvball,American Athletic Conference,NCAA D-I
Fabiola Rivas,Sr.,DS,5-5,Health Sciences,https://ucfknights.com/sports/womens-volleyball/roster/faby-ribas/10632,San Juan,Dr. Phillips High School,University of Central Florida,Florida,https://ucfknights.com/index.aspx?path=wvball,American Athletic Conference,NCAA D-I
Jaylibeth García,Fr.,MB,6-1,,https://ecupirates.com/sports/womens-volleyball/roster/jaylibeth-garcia/10459,Toa Baja,Bayamón Military Academy,East Carolina University,North Carolina,https://ecupirates.com/index.aspx?path=wvball,American Athletic Conference,NCAA D-I
Alejandra Pérez,Jr.,OH,5-8,Chemistry,https://gohatters.com/sports/womens-volleyball/roster/alejandra-perez/7344,Ponce,Colegio del Sagrado Corazón de Jesús,Stetson University,Florida,https://gohatters.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Rocío Moro,Fr.,DS/L,5-5,Nursing,https://unfospreys.com/roster.aspx?rp_id=9611&path=wvball,San Juan,San Juan School of Sports,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Solimar Cestero,So.,OH,6-0,Undecided,https://unfospreys.com/roster.aspx?rp_id=9600&path=wvball,Toa Baja,Colegio De La Salle,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Charyari Ramos,So.,OH/S,5-11,Accounting,https://unfospreys.com/roster.aspx?rp_id=9605&path=wvball,Ponce,Colegio del Sagrado Corazón de Jesús,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Angelie Rosario,Fr.,DS,5-7,Psychology,https://unfospreys.com/roster.aspx?rp_id=9615&path=wvball,Bayamón,Colegio Marista,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Mariana Trujillo,Fr.,S,5-9,Psychology,https://roarlions.com/sports/womens-volleyball/roster/mariana-trujillo/1763,Guayanilla,Guamaní Private School,University of North Alabama,Alabama,https://roarlions.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Alahna Díaz,Sr.,L,5-4,Biology,https://www.njithighlanders.com/sports/womens-volleyball/roster/alahna-diaz/6295,Carolina,Academia María Reina,New Jersey Institute of Technology,New Jersey,https://www.njithighlanders.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA D-I
Katerina Rocafort,Sr.,S,5-8,,https://mgoblue.com/sports/womens-volleyball/roster/katerina-rocafort/18973,San Juan,Academia María Reina,University of Michigan,Michigan,https://mgoblue.com/index.aspx?path=wvball,Big Ten Conference,NCAA D-I
Cecilia Rocafort,Fr.,S,5-8,Chemistry,https://ohiostatebuckeyes.com/sports/w-volley/roster/season/2020-21/cecilia-rocafort/,San Juan,Academia María Reina,Ohio State University,Ohio,https://ohiostatebuckeyes.com/sports/w-volley/,Big Ten Conference,NCAA D-I
Sharlissa de Jesús,Jr.,OH,5-9,Business Administration,https://citadelsports.com/sports/womens-volleyball/roster/sharlissa-de-jesus/6665,Guayama,Guamaní Private School,The Citadel,South Carolina,https://citadelsports.com/index.aspx?path=wvball,Southern Conference,NCAA D-I
Paola Santiago,So.,OH,5-9,Pre-physical therapy,https://uicflames.com/sports/womens-volleyball/roster/paola-santiago/6283,San Juan,Notre Dame Prep School, University of Illinois at Chicago,Illinois,https://uicflames.com/index.aspx?path=wvball,Horizon League,NCAA D-I
