Rank,Player,School,Cl,Ht,Pos,S,Digs
236,Hana Lishman,Pepperdine (WCC),Sr.,5-8,L,114,390
239,Mackenzie Conner,Cincinnati (AAC),So.,5-6,L/DS,109,389
240,Alayna Martin,Southern Ill. (MVC),Sr.,6-0,S,134,388
241,Makala Heidelberg,Tulane (AAC),So.,5-7,OH,113,387
241,Thea Leiataua,Southern Utah (Big Sky),Sr.,5-10,OH,114,387
241,Rylin Roberts,Weber St. (Big Sky),Jr.,5-9,OH,133,387
244,Clare Lund,Northeastern (CAA),Sr.,5-9,S,108,385
245,Emily Solis,Navy (Patriot),Sr.,5-10,DS,101,384
246,Valencia Grayson,Texas Southern (SWAC),Jr.,5-4,DS,102,382
246,CeCe Madison,Oral Roberts (Summit League),Sr.,5-10,OH,123,382
246,McKenna Melville,UCF (AAC),So.,6-1,OH,122,382
249,Mika Dickson,Cal Poly (Big West),Sr.,5-7,L,110,381
249,Katelyn Erwin,Weber St. (Big Sky),Sr.,5-7,L,132,381
249,Alex Ratzlaff,Kansas City (WAC),Jr.,5-10,OH,104,381
252,Rachel Hickey,IUPUI (Horizon),So.,5-4,L/DS,100,380
252,Leah Vokolek,Missouri St. (MVC),So.,5-8,L/DS,116,380
254,Stephanie Der,George Mason (Atlantic 10),Fr.,5-3,L,97,379
254,Jordan Jefferson,Bethune-Cookman (MEAC),Jr.,5-8,OH,106,379
254,Erika Ward,Bryant (NEC),Jr.,5-1,L,103,379
257,Cassidy Ceriani,Canisius (MAAC),Sr.,5-11,S,120,378
257,Shira Lahav,UC Davis (Big West),Fr.,5-7,,111,378
257,Erin Pequeno,Lamar University (Southland),Sr.,5-4,L/DS,92,378
260,Kayla Afoa,Nevada (Mountain West),Jr.,5-9,OH,114,377
260,Morgan Currie,Louisiana Tech (C-USA),Sr.,5-6,L/DS,96,377
260,Kamaile Hiapo,Arizona (Pac-12),Fr.,5-7,L/DS,107,377
263,Abigail Huser,Miami (OH) (MAC),Jr.,5-8,DS,86,376
263,Haylie Keck,Idaho St. (Big Sky),Sr.,5-9,OH,109,376
265,Sarina Moreno,Montana (Big Sky),So.,5-7,L/DS,109,375
266,Kenzie Kellerman,The Citadel (SoCon),Fr.,4-11,L,102,374
266,Savannah Marshall,James Madison (CAA),So.,5-3,L,93,374
268,Ashlyn Roberts,South Alabama (Sun Belt),Sr.,5-4,L/DS,93,373
269,Kelly Colwell,Houston Baptist (Southland),So.,6-1,OH,117,372
269,Maggie Huber,Ball St. (MAC),Fr.,5-6,DS,123,372
269,Brooke Moore,Austin Peay (OVC),Jr.,5-10,OH,118,372
272,Mia Fradenburg,North Carolina (ACC),Sr.,5-6,L/DS,95,371
